user_id,tw_lag7_watched,tw_lag6_watched,tw_lag5_watched,tw_lag4_watched,tw_lag3_watched,tw_lag2_watched,tw_lag1_watched,average_completion,total_sessions,num_genre,num_weekday,num_timeday,most_genre_Children's,most_genre_Comedy,most_genre_Drama,most_genre_Entertainment,most_genre_Factual,most_genre_Learning,most_genre_Music,most_genre_News,most_genre_Religion & Ethics,most_genre_Sport,most_genre_Weather,most_weekday_weekday_0,most_weekday_weekday_1,most_weekday_weekday_2,most_weekday_weekday_3,most_weekday_weekday_4,most_weekday_weekday_5,most_weekday_weekday_6,most_timeday_Afternoon,most_timeday_Evening,most_timeday_Morning,most_timeday_Night
TJRRTM,0.0,58.0042,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TJSGCC,145.0972333333334,119.86105,0.0,0.0,0.0,0.0,42.58351666666666,0.3871843845585727,21,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
TJSIGG,0.0,0.0,0.0,0.0,74.71248333333334,45.124966666666666,0.0,0.26743114503512133,8,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TJTGTT,1.1556499999999998,0.0,0.16126666666666667,0.0,0.8977666666666667,0.0,1.4874999999999998,0.02775661685823755,10,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TJTULF,54.34041666666666,310.4972833333333,0.0,0.0,0.0,0.0,0.0,0.1945427313125921,51,5,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TJVBNZ,1.6321,0.0,3.3596833333333334,1.9385833333333335,1.0008833333333331,78.60665000000002,4.121616666666667,0.354045391379856,26,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TJVVON,3.578083333333333,134.30698333333333,0.0,97.89473333333333,0.0,0.0,0.0,0.5084216085257335,14,5,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TJWUDU,0.0,22.76095,0.0,0.0,0.0,0.0,0.0,0.2746740301318268,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
TJYOPD,5.153666666666666,0.0,18.0319,10.158383333333333,5.637883333333333,0.0,0.0,0.2067315793146519,10,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
TJYSEU,0.0,2354.1178499999996,1789.1713833333345,1928.46045,1931.6820166666669,1963.2097999999999,1353.8601333333331,0.20896826917498068,1005,11,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TJYYHI,814.9090833333332,556.9612999999999,440.84445,799.0367333333334,691.4956833333335,1284.5469666666663,784.4838166666666,0.3456743128823708,243,9,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TKCQYS,0.0,2.941933333333333,0.1788,0.0,0.0,0.0,0.0,0.6166086956521739,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
